topic,study,label_abs,part,label_ft
CD000996,164485,0,0,0
CD000996,176747,0,0,0
CD000996,324510,0,0,0
CD000996,395813,0,0,0
CD000996,398098,0,0,0
CD000996,423017,0,0,0
CD000996,1198394,0,0,0
CD000996,1411394,0,0,0
CD000996,1416399,0,0,0
CD000996,1470705,0,0,0
CD000996,1470715,0,0,0
CD000996,1519835,0,0,0
CD000996,1615177,1,0,1
CD000996,1763005,0,0,0
CD000996,1793341,0,0,0
CD000996,2548426,0,0,0
CD000996,2679608,0,0,0
CD000996,2709164,0,0,0
CD000996,3107762,0,0,0
CD000996,3322858,0,0,0
CD000996,3516103,0,0,0
CD000996,3704962,0,0,0
CD000996,3882313,0,0,0
CD000996,3971757,0,0,0
CD000996,4006557,0,0,0
CD000996,4007845,0,0,0
CD000996,4106992,0,0,0
CD000996,4209914,0,0,0
CD000996,4391429,0,0,0
CD000996,4800275,0,0,0
CD000996,5269924,0,0,0
CD000996,5562607,0,0,0
CD000996,5577681,0,0,0
CD000996,7088769,0,0,0
CD000996,7267968,0,0,0
CD000996,7415584,0,0,0
CD000996,7638431,0,0,0
CD000996,7716312,0,0,0
CD000996,7721084,0,0,0
CD000996,7767536,0,0,0
CD000996,7828702,0,0,0
CD000996,7881674,0,0,0
CD000996,7953501,0,0,0
CD000996,8143052,0,0,0
CD000996,8190039,0,0,0
CD000996,8225430,0,0,0
CD000996,8367756,0,0,0
CD000996,8379217,0,0,0
CD000996,8428430,0,0,0
CD000996,8466099,0,0,0
CD000996,8634796,0,0,0
CD000996,8695990,0,0,0
CD000996,8745755,0,0,0
CD000996,8758507,0,0,0
CD000996,8949348,0,0,0
CD000996,8965405,0,0,0
CD000996,8975302,0,0,0
CD000996,8984918,0,0,0
CD000996,8984919,0,0,0
CD000996,9157669,0,0,0
CD000996,9230244,0,0,0
CD000996,9434324,0,0,0
CD000996,9713457,0,0,0
CD000996,9713458,0,0,0
CD000996,9730996,1,0,1
CD000996,9742863,0,0,0
CD000996,9742866,0,0,0
CD000996,9828857,0,0,0
CD000996,9866981,0,0,0
CD000996,10073280,0,0,0
CD000996,10094224,0,0,0
CD000996,10193374,0,0,0
CD000996,10325928,0,0,0
CD000996,10390974,0,0,0
CD000996,10612158,0,0,0
CD000996,10731875,0,0,0
CD000996,10796575,0,0,0
CD000996,10796717,0,0,0
CD000996,10992538,0,0,0
CD000996,10998853,0,0,0
CD000996,11106225,0,0,0
CD000996,11124647,0,0,0
CD000996,11244735,0,0,0
CD000996,11264756,0,0,0
CD000996,11345841,0,0,0
CD000996,11529438,0,0,0
CD000996,11535970,0,0,0
CD000996,11535971,0,0,0
CD000996,11560305,0,0,0
CD000996,11583057,0,0,0
CD000996,11605186,0,0,0
CD000996,11687146,0,0,0
CD000996,11734464,0,0,0
CD000996,11796435,0,0,0
CD000996,11822102,0,0,0
CD000996,11844130,0,0,0
CD000996,11896905,0,0,0
CD000996,12038874,0,0,0
CD000996,12045132,0,0,0
CD000996,12477240,0,0,0
CD000996,12486380,0,0,0
CD000996,12603799,0,0,0
CD000996,12673411,0,0,0
CD000996,12805557,0,0,0
CD000996,12817067,0,0,0
CD000996,12832674,0,0,0
CD000996,14512672,0,0,0
CD000996,14669503,0,0,0
CD000996,14872003,0,0,0
CD000996,15206498,1,0,0
CD000996,15302742,0,0,0
CD000996,15357269,0,0,0
CD000996,15581196,1,0,1
CD000996,15651274,0,0,0
CD000996,15741443,1,0,1
CD000996,15977917,0,0,0
CD000996,15996182,0,0,0
CD000996,15999563,0,0,0
CD000996,16088589,0,0,0
CD000996,16088725,0,0,0
CD000996,16128227,0,0,0
CD000996,16208427,0,0,0
CD000996,16218418,0,0,0
CD000996,16295752,0,0,0
CD000996,16362444,0,0,0
CD000996,16369404,0,0,0
CD000996,16434174,1,0,1
CD000996,16473820,0,0,0
CD000996,16497762,0,0,0
CD000996,16548837,0,0,0
CD000996,16612769,0,0,0
CD000996,16636525,0,0,0
CD000996,16801748,0,0,0
CD000996,16802778,0,0,0
CD000996,17035461,0,0,0
CD000996,17129491,0,0,0
CD000996,17154672,0,0,0
CD000996,17193861,0,0,0
CD000996,17234397,0,0,0
CD000996,17353121,0,0,0
CD000996,17488142,0,0,0
CD000996,17622756,0,0,0
CD000996,17644942,0,0,0
CD000996,17763689,0,0,0
CD000996,17882908,0,0,0
CD000996,17943909,0,0,0
CD000996,18023137,0,0,0
CD000996,18041077,0,0,0
CD000996,18059153,0,0,0
CD000996,18464226,0,0,0
CD000996,18508829,0,0,0
CD000996,18592990,0,0,0
CD000996,18638625,0,0,0
CD000996,18837683,0,0,0
CD000996,18846804,0,0,0
CD000996,19058490,0,0,0
CD000996,19064594,0,0,0
CD000996,19099097,0,0,0
CD000996,19099108,0,0,0
CD000996,19138237,1,0,0
CD000996,19160186,0,0,0
CD000996,19301932,0,0,0
CD000996,19323585,0,0,0
CD000996,19361821,0,0,0
CD000996,19386694,0,0,0
CD000996,19416782,0,0,0
CD000996,19450337,0,0,0
CD000996,19659645,0,0,0
CD000996,19838983,0,0,0
CD000996,19905965,0,0,0
CD000996,19953044,0,0,0
CD000996,19995143,0,0,0
CD000996,19996193,0,0,0
CD000996,19996746,0,0,0
CD000996,20089343,0,0,0
CD000996,20146956,0,0,0
CD000996,20159270,0,0,0
CD000996,20172263,0,0,0
CD000996,20298395,0,0,0
CD000996,20304184,0,0,0
CD000996,20385626,0,0,0
CD000996,20393960,0,0,0
CD000996,20463254,0,0,0
CD000996,20575086,0,0,0
CD000996,20576419,0,0,0
CD000996,20624789,0,0,0
CD000996,20635793,0,0,0
CD000996,20658484,0,0,0
CD000996,20673985,0,0,0
CD000996,20713349,0,0,0
CD000996,20720607,0,0,0
CD000996,20831464,0,0,0
CD000996,21300218,0,0,0
CD000996,21364311,0,0,0
CD000996,21500868,0,0,0
CD000996,21646806,0,0,0
CD000996,21772668,0,0,0
CD000996,21778259,1,0,0
CD000996,21798654,0,0,0
CD000996,21867821,0,0,0
CD000996,21901851,0,0,0
CD000996,22046624,0,0,0
CD000996,22059188,0,0,0
CD000996,22167396,0,0,0
CD000996,22333650,0,0,0
CD000996,22396571,0,0,0
CD000996,22445696,0,0,0
CD000996,22449688,0,0,0
CD000996,22455941,0,0,0
CD000996,22640852,0,0,0
CD000996,22684355,1,0,1
CD000996,22696672,0,0,0
CD000996,22781123,0,0,0
CD000996,22809423,0,0,0
CD000996,22847639,0,0,0
CD000996,22855546,0,0,0
CD000996,22925316,0,0,0
CD000996,23137883,0,0,0
CD000996,23166431,0,0,0
CD000996,23188194,0,0,0
CD000996,23448773,0,0,0
CD000996,23616969,0,0,0
CD000996,23734824,0,0,0
CD000996,23761976,0,0,0
CD000996,23889240,0,0,0
CD000996,23918112,0,0,0
CD000996,24124045,0,0,0
CD000996,24131836,0,0,0
CD000996,24157860,0,0,0
CD000996,24199804,0,0,0
CD000996,24211131,0,0,0
CD000996,24410485,0,0,0
CD000996,24415866,0,0,0
CD000996,24433801,0,0,0
