topic,study,label_abs,part,label_ft
CD011558,21394426,0,0,0
CD011558,21852420,0,0,0
CD011558,22079625,0,0,0
CD011558,22095003,0,0,0
CD011558,22128845,0,0,0
CD011558,22172740,0,0,0
CD011558,22219173,0,0,0
CD011558,22342172,0,0,0
CD011558,22342173,0,0,0
CD011558,22359240,0,0,0
CD011558,22398026,0,0,0
CD011558,22411705,0,0,0
CD011558,22503681,0,0,0
CD011558,22515318,0,0,0
CD011558,22633835,0,0,0
CD011558,22722014,0,0,0
CD011558,22729236,0,0,0
CD011558,22734969,0,0,0
CD011558,22736032,0,0,0
CD011558,22738755,0,0,0
CD011558,22749796,0,0,0
CD011558,22762787,0,0,0
CD011558,22802296,0,0,0
CD011558,22813358,0,0,0
CD011558,22818392,0,0,0
CD011558,22854116,0,0,0
CD011558,22861053,0,0,0
CD011558,22882356,0,0,0
CD011558,22882970,0,0,0
CD011558,22907794,0,0,0
CD011558,22909247,0,0,0
CD011558,22918546,0,0,0
CD011558,22948405,0,0,0
CD011558,22970982,0,0,0
CD011558,22984132,0,0,0
CD011558,22986630,0,0,0
CD011558,23003112,0,0,0
CD011558,23020780,0,0,0
CD011558,23031332,0,0,0
CD011558,23036867,0,0,0
CD011558,23065900,0,0,0
CD011558,23073227,0,0,0
CD011558,23075913,0,0,0
CD011558,23083642,0,0,0
CD011558,23086152,0,0,0
CD011558,23099038,0,0,0
CD011558,23141038,0,0,0
CD011558,23149237,0,0,0
CD011558,23163431,0,0,0
CD011558,23164530,0,0,0
CD011558,23170806,0,0,0
CD011558,23179499,0,0,0
CD011558,23183025,0,0,0
CD011558,23199532,0,0,0
CD011558,23216818,0,0,0
CD011558,23234509,1,0,0
CD011558,23239082,0,0,0
CD011558,23246397,0,0,0
CD011558,23255079,0,0,0
CD011558,23264572,0,0,0
CD011558,23275054,0,0,0
CD011558,23293101,0,0,0
CD011558,23293315,0,0,0
CD011558,23311431,0,0,0
CD011558,23311590,0,0,0
CD011558,23315914,0,0,0
CD011558,23324550,0,0,0
CD011558,23329566,0,0,0
CD011558,23329779,0,0,0
CD011558,23331340,0,0,0
CD011558,23331626,0,0,0
CD011558,23336438,0,0,0
CD011558,23340322,0,0,0
CD011558,23343085,0,0,0
CD011558,23347433,0,0,0
CD011558,23350571,0,0,0
CD011558,23356737,0,0,0
CD011558,23360713,0,0,0
CD011558,23360944,0,0,0
CD011558,23365111,0,0,0
CD011558,23367653,0,0,0
CD011558,23372783,0,0,0
CD011558,23375980,0,0,0
CD011558,23383726,0,0,0
CD011558,23385847,0,0,0
CD011558,23391047,0,0,0
CD011558,23394188,0,0,0
CD011558,23394229,0,0,0
CD011558,23394288,1,0,0
CD011558,23397352,0,0,0
CD011558,23402542,0,0,0
CD011558,23406216,0,0,0
CD011558,23407229,0,0,0
CD011558,23409867,0,0,0
CD011558,23410502,0,0,0
CD011558,23414077,0,0,0
CD011558,23414104,0,0,0
CD011558,23414640,0,0,0
CD011558,23415349,0,0,0
CD011558,23415357,0,0,0
CD011558,23415360,0,0,0
CD011558,23415370,0,0,0
CD011558,23421334,0,0,0
CD011558,23421792,0,0,0
CD011558,23423857,0,0,0
CD011558,23432882,0,0,0
CD011558,23432891,0,0,0
CD011558,23433999,0,0,0
CD011558,23434020,0,0,0
CD011558,23434022,0,0,0
CD011558,23442446,0,0,0
CD011558,23442536,0,0,0
CD011558,23444879,0,0,0
CD011558,23444886,0,0,0
CD011558,23448583,0,0,0
CD011558,23453700,0,0,0
CD011558,23455375,0,0,0
CD011558,23455539,0,0,0
CD011558,23457948,0,0,0
CD011558,23459063,0,0,0
CD011558,23459889,0,0,0
