stopping_method,dataset,simulation,sim_key,ranker,records_seen,records_total,proportion_screened,never_stopped,achieved_recall,target_recall,confidence_level,overshot_target,cost_of_overshoot (prop),stopped_at_final_batch,stopped_at_target_recall_batch
ALISON,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,1300,6731,0.19313623532907442,False,0.7421875,0.8,0.8,False,0.0,False,False
ALISON,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,1300,6731,0.19313623532907442,False,0.7421875,0.8,0.95,False,0.0,False,False
ALISON,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,2400,6731,0.3565592036844451,False,0.7734375,0.9,0.8,False,0.0,False,False
ALISON,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,2600,6731,0.38627247065814885,False,0.84375,0.9,0.95,False,0.0,False,False
ALISON,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,2600,6731,0.38627247065814885,False,0.84375,0.95,0.8,False,0.0,False,False
ALISON,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,3000,6731,0.4456990046055564,False,0.859375,0.95,0.95,False,0.0,False,False
ALISON,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,2700,6731,0.40112910414500075,False,0.8515625,0.99,0.8,False,0.0,False,False
ALISON,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,3400,6731,0.5051255385529639,False,0.8984375,0.99,0.95,False,0.0,False,False
ALISON,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,1600,6731,0.23770613578963007,False,0.671875,0.8,0.8,False,0.0,False,False
ALISON,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,1600,6731,0.23770613578963007,False,0.671875,0.8,0.95,False,0.0,False,False
ALISON,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,1600,6731,0.23770613578963007,False,0.671875,0.9,0.8,False,0.0,False,False
ALISON,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,2600,6731,0.38627247065814885,False,0.8203125,0.9,0.95,False,0.0,False,False
ALISON,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,1700,6731,0.25256276927648197,False,0.703125,0.95,0.8,False,0.0,False,False
ALISON,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,2600,6731,0.38627247065814885,False,0.8203125,0.95,0.95,False,0.0,False,False
